mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial
4035;C.DPI&972.84&E49h;Historia de El Salvador;Ministerio de Educación (El Salvador);1994;Dirección de Publicaciones e Impresos
4035;C.DPI&972.84&E49h;Historia de El Salvador;Ministerio de Educación (El Salvador);1994;Dirección de Publicaciones e Impresos
4036;C.DPI&808.803 75&H565m;Mentiras y Verdades;Herrera Velado, Francisco;1977;Dirección de Publicaciones e Impresos
4037;C.DPI&972.84&C348a;Antecedentes Históricos de la Guerra Civil;Castellanos, Juan Mario;2001;Dirección de Publicaciones e Impresos
4039;C.DPI&972.84&L864i;San Salvador en la Conexión Centroamericana al Imperio del Septentrión;López, Eugenia;2000;Dirección de Publicaciones e Impresos
4040;C.DPI&929.9&E77s;Simbolos Patrios de las Naciones de Centroamérica;Espinosa, Francisco;2001;Dirección de Publicaciones e Impresos
4041;C.DPI&848&E42c;Crónica de Alemania;Elías, Rolando;1983;Dirección de Publicaciones e Impresos
4042;C.DPI&861&L864a;Alicia en la Cárcel de las Maravillas;López Lomas, Estela Alicia;1994;Dirección de Publicaciones e Impresos
4044;C.DPI&864&L318t;Tormenta entre las Manos;Lara Martínez, Rafael;1999;Dirección de Publicaciones e Impresos
4045;C.DPI&861.4&L334p;Poesía Completa;Lars, Claudia;1999;Dirección de Publicaciones e Impresos
4046;C.DPI&793.3&A769d;Danzas Folkloricas en la Villa de los Santos;Arosemena Morena, Julio;1977;Dirección de Publicaciones e Impresos
4047;C.DPI&972.728 423 6&D418r;Reliquia;Deodanes, Sabino;1999;Dirección de Publicaciones e Impresos
4048;C.DPI&741.5&G166c;Caricaturas Verbales;Gallegos Valdés, Luis;1997;Dirección de Publicaciones e Impresos
4050;C.DPI&908&H673;Historia sagrada e historia profana: el sentido de la historia salvadoreña en la obra de Francisco Gavidia.;Lara Martínez, Rafael;1991;CONCULTURA
4051;C.DPI&782.253&F363r;Radiografía del Dolor;Fernández, Julio Fausto;1974;Dirección de Publicaciones e Impresos
4052;C.DPI&860&E74e;El Arbol de Todos;Escobar Galindo, David;1996;Dirección de Publicaciones e Impresos
4053;C.DPI&155.423&P227q;Quiero Aprender;Paredes Sánchez, Leopoldo;1999;Dirección de Publicaciones e Impresos
4054;C.DPI&519.3&O77t;Trazos Geométricos;Ortez, José César;1990;Dirección de Publicaciones e Impresos
4055;C.DPI&070.44&G151e;La Espuma de los Sueños;Galeas, Geovani;1999;Dirección de Publicaciones e Impresos
4056;C.DPI&750.1&C813s;La pintura en El Salvador;Cornejo, Jorge A.;1999;Dirección de Publicaciones e Impresos
4056;C.DPI&750.1&C813s;La pintura en El Salvador;Cornejo, Jorge A.;1999;Dirección de Publicaciones e Impresos
4057;C.DPI&864&A729a;Aventura Hacia el País Perdido;Armijo, Roberto;1999;Dirección de Publicaciones e Impresos
4058;C.DPI&861&S237c;La Casa en Marcha;Santos, Carlos;1998;Dirección de Publicaciones e Impresos
4059;C.DPI&863.3&Q5v;La Vida del Buscón Llamado don Pablos;Quevedo, Francisco;1998;Dirección de Publicaciones e Impresos
4060;C.DPI&070&V665;Obras Escogidas;Viera Altamirano, Napoleón;1998;Dirección de Publicaciones e Impresos
4061;C.DPI&861.44&A316l;Luciférnagas;Alas, Javier;1993;Dirección de Publicaciones e Impresos
4062;C.DPI&861&A325;Alba de Otro Milenio;;2000;Dirección de Publicaciones e Impresos
4063;C.DPI&808.82&C764o;Obra Poética;Contreras, Raúl;1996;Dirección de Publicaciones e Impresos
4064;C.DPI&861.4&L334p;Poesía Completa;Lars, Claudia;1999;Dirección de Publicaciones e Impresos
4065;C.DPI&069.09&M986;Museo Nacional David J. Guzmán;;1986;Dirección de Publicaciones e Impresos
4118;C.DPI&861&A336s;Saudade;Alegría, Claribel;2000;Dirección de Publicaciones e Impresos
4119;C.DPI&862&Ch539n;Nuevo Teatro Salvadoreño;Chinchilla, Miguel Angel;1997;Dirección de Publicaciones e impresos
4129;C.DPI&925.8&G993c;Obras Escogidas;Guzmán, David J.;2000;Dirección de Publicaciones e Impresos
5022;C.DPI&972.84&D289s;Suchitoto;Burgos, Hugo de;1999;Dirección de Publicaciones e Impresos
5337;DIP&658.568&C949c&1999;La calidad no cuesta: el arte de cerciorarse de la calidad;Crosby, Philip B.;1999;CECSA
6753;DIP&658.51&H224r;Reingeniería: Olvide lo que usted sabe sobre cómo debe funcionar una empresa.;Hammer, Michael;1994;Norma
6753;DIP&658.51&H224r;Reingeniería: Olvide lo que usted sabe sobre cómo debe funcionar una empresa.;Hammer, Michael;1994;Norma
6753;DIP&658.51&H224r;Reingeniería: Olvide lo que usted sabe sobre cómo debe funcionar una empresa.;Hammer, Michael;1994;Norma
6753;DIP&658.51&H224r;Reingeniería: Olvide lo que usted sabe sobre cómo debe funcionar una empresa.;Hammer, Michael;1994;Norma
6754;DIP&658.51&J65r;Reingeniería de procesos de negocios;Johansson, Henry J.;1996;Limusa Noriega Editores
6754;DIP&658.51&J65r;Reingeniería de procesos de negocios;Johansson, Henry J.;1996;Limusa Noriega Editores
6754;DIP&658.51&J65r;Reingeniería de procesos de negocios;Johansson, Henry J.;1996;Limusa Noriega Editores
6754;DIP&658.51&J65r;Reingeniería de procesos de negocios;Johansson, Henry J.;1996;Limusa Noriega Editores
6755;DIP&658.51&L913r;Reingeniería de la organización: Enfoque sistemático para la revitalización corporativa;Lowenthal, Jeffrey N.;1997;Panorama Editorial
6755;DIP&658.51&L913r;Reingeniería de la organización: Enfoque sistemático para la revitalización corporativa;Lowenthal, Jeffrey N.;1997;Panorama Editorial
6756;DIP&658.51&M277c;Cómo hacer reingeniería;Manganelli, Raymond L.;1995;Grupo Editorial Norma
6756;DIP&658.51&M277c;Cómo hacer reingeniería;Manganelli, Raymond L.;1995;Grupo Editorial Norma
6757;DIP&658.114&D124t;Teoría y diseño organizacional;Daft, Richard I.;2000;International Thomson Editores
6758;DIP&658.568&M667p;El proceso estratégico: Conceptos y casos;Mintzberg, Henry;1997;Prentice Hall
6759;DIP&658.562&T112g;Guía para implementar la norma ISO 9000 para empresas de todos tipos y tamaños;Tabla Guevara, Guillermo;1998;Prentice Hall
6760;DIP&658.562&R843i;ISO 9000;Rothery, Brian;1993;Panorama editorial
6761;DIP&657.458&V697a;La auditoría de los sistemas de gestión de la calidad;Vilar Barrio, José Francisco;1999;Fundación confemetal
6762;DIP&658.568&I799q;¿Que es el control de calidad? la modalidad japonesa;Ishikawa, Kaoru;1988;Grupo Editorial Norma
6763;DIP&658.562&C266i;Implementación de ISO 14001 una versión macroscópica;Cárdenas, Leonardo J.;1999;Ediciones Castillo
6764;DIP&658.51&M875r;Reingeniería: Cómo aplicarla con éxito en los negocios;Morris, Daniel;1995;McGraw-Hill
6764;DIP&658.51&M875r;Reingeniería: Cómo aplicarla con éxito en los negocios;Morris, Daniel;1995;McGraw-Hill
6764;DIP&658.51&M875r;Reingeniería: Cómo aplicarla con éxito en los negocios;Morris, Daniel;1995;McGraw-Hill
6764;DIP&658.51&M875r;Reingeniería: Cómo aplicarla con éxito en los negocios;Morris, Daniel;1995;McGraw-Hill
6765;DIP&658.404&G738a;Administración de proyectos exitosos;Grahan, Robert J.;1999;Prentice-Hall
6766;DIP&658.16&W238c;Cómo administrar con el método deming;Walton, Mary;1988;Grupo Editorial Norma
6767;DIP&658.51&G492d;Dirección por servicio: La otra calidad la única reingeniería;Ginebra, Joan;1999;McGraw-Hill
6768;DIP&658.568&C949c;Calidad sin lagrimas: El arte de administrar sin problemas;Crosby, Philip B.;1999;Continental, S.A. de C.V.
6769;DIP&658.568&V697c;Cómo implementar y gestionar la calidad total;Vilar Barrio, José Francisco;S/F;Fundación CONFEMETAL
6770;DIP&658.568&V697n;Las 7 nuevas herramientas para la mejora de la calidad;Vilar Barrio, José Francisco;S/F;Fundación CONFEMETAL
6771;DIP&658.16&S822p;Planeación estratégica: lo que todo director debe saber;Steiner, George A.;2000;Continental, S.A. de C.V.
6772;DIP&658.404&G453a;Administración éxitosa de proyectos;Gido, Jack;1999;International Thomson Editores
6773;DIP&658.04&F831o;Organización de empresas: análisis, diseño y estructura;Fincowsky, Enrique Benjamín Franklin;1999;McGraw-Hill
6774;DIP&658.51&V697a;Cómo mejorar los procesos en su empresa: el control estadístico de procesos (SPC), herramienta fundamental en el incremento de la competitividad;Vilar Barrio, José Francisco;1999;Fundación CONFEMETAL
