mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
4328;COL.NB&551.498&P893;Wells;Department of the Army and the Air Force;1957;s.n;
4329;COL.NB&551.522&H959;Hurricane Camille August 1969;United States Department of Commerce;1971;s.n;
4330;COL.NB&551.8&M665r;Winds, Waves and Maritime Structures;Minikin, R.R.;1950;Charles Griffin & Company;
4331;COL.NB&552.23&A662s;Suelo-cemento de ceniza volcánica: utilización del suelo-cemento en la construcción de viviendas;Universidad de El  Salvador;1972;s.n;
4332;COL.NB&553&P397l;Lezione Di Geología Applicata;Penta, Francesco;1947;Edizione Italiani;
4333;COL.NB&620.112&F312c;Construction failure;Feld, Jacob;1968;John Wiley;
4334;COL.NB&620.112&F312f;Failures in foundations;Feld, Jacob;1965;Soiltest;
4335;COL.NB&620.112&F312L;Lessons from failures;Feld, Jacob;1964;American Concrete Institute;
4336;COL.NB&620.112&H226e;Engineering Structural Failures;Hammond, Rolt;1962;Cement and Concrete Association;
4337;COL.NB&620.112&J65y;Yield-Line Theory;Johansen, K.W.;1962;Cement and Concrete Association;
4338;COL.NB&620.112&S997f;Foundation Failures;Széchy, C.;1961;Concrete publications;
4339;COL.NB&620.121 1&U36;Ultimate strength design handbook;American Concrete Institute;1967;s.n;
4339;COL.NB&620.121 1&U36;Ultimate strength design handbook;American Concrete Institute;1967;s.n;
4340;COL.NB&620.112 3&C719e;L'equilibre des Corps Déformables;Colonnetti, G.;1955;Dunod;
4341;COL.NB&620.112 3&J91m;Mechanics of Soils;Jumikis, Alfreds R.;1964;D. Van Nostrand Company;
4343;COL.NB&620.112 32&B873s;Strength and Elasticity of Materials;Brooks, W.H.;1954;Macdonald & Co.;
4344;COL.NB&620.112 32&C796t;Teoria e Applicazioni Della Ellisse di Elaticita;Publicazioni Tecniche e di Scienze Esatte;1925;Luigi Avalle;
4345;COL.NB&620.112 32&G216e;Elasticidad Teórica y Experimental;García de Arangoá, Antonio;1945;Dossatt, S.A.;
4346;COL.NB&620.112 32&P664s;Studies in Elastic Structures;Pippard, A. J. S.;1952;Edward Arnold & Co.;
